"Index" "ipca.focus" "ipca12.focus"
2013-10-01 0.475909090909091 6.24826086956522
2013-11-01 0.53 6.1995
2013-12-01 0.522 6.10571428571429
2014-01-01 0.600454545454545 6.04409090909091
2014-02-01 0.55 6.0695
2014-03-01 0.471 6.23052631578947
2014-04-01 0.510454545454545 6.2055
2014-05-01 0.407142857142857 6.00380952380952
2014-06-01 0.293 5.957
2014-07-01 0.332608695652174 5.89565217391304
2014-08-01 0.326818181818182 6.09380952380952
2014-09-01 0.413809523809524 6.28227272727273
2014-10-01 0.5 6.3795652173913
2014-11-01 0.55 6.4805
2014-12-01 0.6 6.64681818181818
2015-01-01 0.7 6.79142857142857
2015-02-01 0.6165 6.80611111111111
2015-03-01 0.495789473684211 6.83954545454545
2015-04-01 0.5135 6.261
2015-05-01 0.42952380952381 6.051
2015-06-01 0.3 6.20571428571429
